"PLAYER_ID","MMR","RANK","WIN","LOSE","TOTAL_MATCHES","WINRATE_PORCENTAGEM"
"54214033","3170","41","832","855","1687","49"
"54761657","3811","55","72","64","136","52"
"55391183","2831","34","336","308","644","52"
"55421522","2705","15","828","835","1663","49"
"55471835","2801","35","1734","1848","3582","48"
"55565278","3077","","1760","1619","3379","52"
"55610030","3391","52","2166","2120","4286","50"
"55881713","3719","14","1069","1459","2528","42"
"56634579","2727","32","1009","1081","2090","48"
"56777245","2879","42","2815","2665","5480","51"
"56934541","3762","75","4925","4790","9715","50"
"57239052","2668","32","1678","1823","3501","47"
"57249366","2549","24","1173","1195","2368","49"
"57308242","3539","55","3731","3830","7561","49"
"57504561","2448","34","977","967","1944","50"
"57994635","2762","42","822","748","1570","52"
"58309449","4051","","883","785","1668","52"
"58544273","2989","32","1901","2008","3909","48"
"58719995","3326","52","2212","2167","4379","50"
"58919188","3517","65","4065","3899","7964","51"
"58957772","3234","41","4538","4578","9116","49"
"59298531","2329","44","3442","3353","6795","50"
"59498371","3078","35","1603","1538","3141","51"
"59590838","3155","63","3159","2979","6138","51"
"59601370","3721","54","1187","1069","2256","52"
"59715561","2777","34","951","991","1942","48"
"60150910","2992","42","3864","3848","7712","50"
"60760142","3304","53","4564","4462","9026","50"
"60812312","2882","","349","337","686","50"
"61014286","3470","44","2398","2432","4830","49"
"61022554","3074","44","2102","2106","4208","49"
"61207227","2195","22","985","1022","2007","49"
"61223102","3032","32","1983","2122","4105","48"
"61428789","2889","52","4200","4161","8361","50"
"61752108","2918","35","933","922","1855","50"
"61791224","3153","33","1691","1718","3409","49"
"62068309","3539","54","3755","3746","7501","50"
"62101838","3709","52","2395","2428","4823","49"
"62499335","3077","44","1664","1697","3361","49"
"62769929","3243","44","2057","1761","3818","53"
"63182185","2901","52","617","521","1138","54"
"63362375","3002","44","1002","1101","2103","47"
"63634848","3242","54","2316","1841","4157","55"
"63762537","2684","35","3016","2965","5981","50"
"63796138","3021","32","1246","1278","2524","49"
"64022950","3389","45","4575","4570","9145","50"
